method classifier sim cls_err Batch_Separability
tSNE_plx_20 QDA 23 0.26271186440678 0.73728813559322
tSNE_plx_5 QDA 23 0.364406779661017 0.635593220338983
PCA QDA 23 0.127118644067797 0.872881355932203
MDS QDA 23 0.0847457627118644 0.915254237288136
ZIFA QDA 23 0.0423728813559321 0.957627118644068
VAMF QDA 23 0.398305084745763 0.601694915254237
ZINB-WAVE QDA 23 0.0677966101694916 0.932203389830508
fSCLVM QDA 23 0.0254237288135593 0.974576271186441
tSNE_plx_20 LDA 24 0.313559322033898 0.686440677966102
tSNE_plx_5 LDA 24 0.338983050847458 0.661016949152542
PCA LDA 24 0.059322033898305 0.940677966101695
MDS LDA 24 0.0254237288135593 0.974576271186441
ZIFA LDA 24 0.0169491525423728 0.983050847457627
VAMF LDA 24 0.076271186440678 0.923728813559322
ZINB-WAVE LDA 24 0.0508474576271186 0.949152542372881
fSCLVM LDA 24 0.398305084745763 0.601694915254237
tSNE_plx_20 QDA 24 0.203389830508474 0.796610169491526
tSNE_plx_5 QDA 24 0.305084745762712 0.694915254237288
PCA QDA 24 0.059322033898305 0.940677966101695
MDS QDA 24 0.0338983050847457 0.966101694915254
ZIFA QDA 24 0.0169491525423728 0.983050847457627
VAMF QDA 24 0.076271186440678 0.923728813559322
ZINB-WAVE QDA 24 0.0338983050847458 0.966101694915254
fSCLVM QDA 24 0.457627118644068 0.542372881355932
tSNE_plx_20 LDA 25 0.288135593220339 0.711864406779661
tSNE_plx_5 LDA 25 0.313559322033898 0.686440677966102
PCA LDA 25 0.169491525423729 0.830508474576271
MDS LDA 25 0.11864406779661 0.88135593220339
ZIFA LDA 25 0.076271186440678 0.923728813559322
VAMF LDA 25 0.347457627118644 0.652542372881356
ZINB-WAVE LDA 25 0.059322033898305 0.940677966101695
fSCLVM LDA 25 0.364406779661017 0.635593220338983
tSNE_plx_20 QDA 25 0.254237288135593 0.745762711864407
tSNE_plx_5 QDA 25 0.313559322033898 0.686440677966102
PCA QDA 25 0.161016949152542 0.838983050847458
MDS QDA 25 0.11864406779661 0.88135593220339
ZIFA QDA 25 0.0677966101694916 0.932203389830508
VAMF QDA 25 0.347457627118644 0.652542372881356
ZINB-WAVE QDA 25 0.059322033898305 0.940677966101695
fSCLVM QDA 25 0.398305084745763 0.601694915254237
tSNE_plx_20 LDA 26 0.186440677966102 0.813559322033898
tSNE_plx_5 LDA 26 0.38135593220339 0.61864406779661
PCA LDA 26 0.101694915254237 0.898305084745763
MDS LDA 26 0.0677966101694916 0.932203389830508
ZIFA LDA 26 0.0593220338983051 0.940677966101695
VAMF LDA 26 0.432203389830508 0.567796610169492
ZINB-WAVE LDA 26 0.059322033898305 0.940677966101695
fSCLVM LDA 26 0.0338983050847458 0.966101694915254
tSNE_plx_20 QDA 26 0.152542372881356 0.847457627118644
tSNE_plx_5 QDA 26 0.26271186440678 0.73728813559322
PCA QDA 26 0.101694915254237 0.898305084745763
MDS QDA 26 0.0677966101694916 0.932203389830508
ZIFA QDA 26 0.0508474576271186 0.949152542372881
VAMF QDA 26 0.389830508474576 0.610169491525424
ZINB-WAVE QDA 26 0.059322033898305 0.940677966101695
fSCLVM QDA 26 0.0338983050847457 0.966101694915254
tSNE_plx_20 LDA 27 0.203389830508475 0.796610169491525
tSNE_plx_5 LDA 27 0.322033898305085 0.677966101694915
PCA LDA 27 0.0847457627118644 0.915254237288136
MDS LDA 27 0.0847457627118644 0.915254237288136
ZIFA LDA 27 0.0677966101694916 0.932203389830508
VAMF LDA 27 0.347457627118644 0.652542372881356
ZINB-WAVE LDA 27 0.076271186440678 0.923728813559322
fSCLVM LDA 27 0.0508474576271186 0.949152542372881
tSNE_plx_20 QDA 27 0.169491525423729 0.830508474576271
tSNE_plx_5 QDA 27 0.330508474576271 0.669491525423729
PCA QDA 27 0.0932203389830508 0.906779661016949
MDS QDA 27 0.0593220338983051 0.940677966101695
ZIFA QDA 27 0.059322033898305 0.940677966101695
VAMF QDA 27 0.35593220338983 0.64406779661017
ZINB-WAVE QDA 27 0.0677966101694915 0.932203389830509
fSCLVM QDA 27 0.0338983050847458 0.966101694915254
tSNE_plx_20 LDA 28 0.288135593220339 0.711864406779661
tSNE_plx_5 LDA 28 0.347457627118644 0.652542372881356
PCA LDA 28 0.11864406779661 0.88135593220339
MDS LDA 28 0.0932203389830508 0.906779661016949
ZIFA LDA 28 0.0677966101694916 0.932203389830508
VAMF LDA 28 0.0593220338983051 0.940677966101695
ZINB-WAVE LDA 28 0.059322033898305 0.940677966101695
fSCLVM LDA 28 0.0847457627118644 0.915254237288136
tSNE_plx_20 QDA 28 0.220338983050848 0.779661016949152
tSNE_plx_5 QDA 28 0.322033898305085 0.677966101694915
PCA QDA 28 0.127118644067797 0.872881355932203
MDS QDA 28 0.0932203389830508 0.906779661016949
ZIFA QDA 28 0.0677966101694916 0.932203389830508
VAMF QDA 28 0.0593220338983051 0.940677966101695
ZINB-WAVE QDA 28 0.059322033898305 0.940677966101695
fSCLVM QDA 28 0.101694915254237 0.898305084745763
tSNE_plx_20 LDA 29 0.347457627118644 0.652542372881356
tSNE_plx_5 LDA 29 0.389830508474576 0.610169491525424
PCA LDA 29 0.0932203389830508 0.906779661016949
MDS LDA 29 0.076271186440678 0.923728813559322
ZIFA LDA 29 0.0593220338983051 0.940677966101695
VAMF LDA 29 0.338983050847458 0.661016949152542
ZINB-WAVE LDA 29 0.296610169491525 0.703389830508475
fSCLVM LDA 29 0.398305084745763 0.601694915254237
tSNE_plx_20 QDA 29 0.296610169491525 0.703389830508475
tSNE_plx_5 QDA 29 0.338983050847458 0.661016949152542
PCA QDA 29 0.0847457627118644 0.915254237288136
MDS QDA 29 0.076271186440678 0.923728813559322
ZIFA QDA 29 0.0677966101694916 0.932203389830508
VAMF QDA 29 0.364406779661017 0.635593220338983
ZINB-WAVE QDA 29 0.279661016949152 0.720338983050848
fSCLVM QDA 29 0.364406779661017 0.635593220338983
tSNE_plx_20 LDA 30 0.35593220338983 0.64406779661017
tSNE_plx_5 LDA 30 0.466101694915254 0.533898305084746
PCA LDA 30 0.0847457627118644 0.915254237288136
MDS LDA 30 0.076271186440678 0.923728813559322
ZIFA LDA 30 0.0677966101694916 0.932203389830508
VAMF LDA 30 0.372881355932203 0.627118644067797
ZINB-WAVE LDA 30 0.110169491525424 0.889830508474576
fSCLVM LDA 30 0.432203389830508 0.567796610169492
tSNE_plx_20 QDA 30 0.245762711864407 0.754237288135593
tSNE_plx_5 QDA 30 0.347457627118644 0.652542372881356
PCA QDA 30 0.0847457627118644 0.915254237288136
MDS QDA 30 0.0847457627118644 0.915254237288136
ZIFA QDA 30 0.0677966101694916 0.932203389830508
VAMF QDA 30 0.330508474576271 0.669491525423729
ZINB-WAVE QDA 30 0.110169491525424 0.889830508474576
fSCLVM QDA 30 0.423728813559322 0.576271186440678
tSNE_plx_20 LDA 31 0.338983050847458 0.661016949152542
tSNE_plx_5 LDA 31 0.364406779661017 0.635593220338983
PCA LDA 31 0.135593220338983 0.864406779661017
MDS LDA 31 0.110169491525424 0.889830508474576
ZIFA LDA 31 0.076271186440678 0.923728813559322
VAMF LDA 31 0.305084745762712 0.694915254237288
ZINB-WAVE LDA 31 0.11864406779661 0.88135593220339
